month,deployed_units,capex_spend,opex_spend,coverage_pct,unmet_demand,budget_shadow_price,budget_slack,budget_binding,supply_shadow_price,supply_slack,supply_binding,budget_cap,supply_limit,budget_utilization_pct,supply_utilization_pct,primary_driver
2026-01,64.0,419600.0,11030.0,0.22938,11725.67,-8.416962,0.0,True,-0.0,5.771329,False,420000,70,0.999,0.9143,budget
2026-02,68.0,406000.0,30630.0,0.5546599999999999,6206.49,-0.0,52438.238986,False,-0.0,8.486328,False,420000,70,0.9667,0.9714,demand/capacity
2026-03,0.0,0.0,48490.0,0.9873200000000001,199.88,-0.0,418100.113186,False,-0.0,69.677985,False,420000,70,0.0,0.0,demand/capacity
2026-04,0.0,0.0,48490.0,1.0,0.0,-0.0,420000.0,False,-0.0,70.0,False,420000,70,0.0,0.0,demand/capacity
2026-05,0.0,0.0,48490.0,0.9999399999999999,0.9,-0.0,419201.702128,False,-0.0,69.857447,False,420000,70,0.0,0.0,demand/capacity
2026-06,0.0,0.0,48490.0,1.0,0.0,-0.0,410405.37514,False,-0.0,68.286674,False,420000,70,0.0,0.0,demand/capacity
2026-07,4.0,22400.0,48490.0,1.0,0.0,-0.0,389620.806271,False,-0.0,65.016685,False,420000,70,0.0533,0.0571,demand/capacity
2026-08,4.0,26000.0,49450.0,0.9995799999999999,6.74,-0.0,373998.981937,False,-0.0,62.557488,False,420000,70,0.0619,0.0571,demand/capacity
2026-09,16.0,100400.0,50650.0,0.99124,128.23,-0.0,340716.478203,False,-0.0,57.513868,False,420000,70,0.239,0.2286,demand/capacity
2026-10,12.0,78000.0,55230.0,0.9967,60.54,-0.0,336012.322184,False,-0.0,56.986389,False,420000,70,0.1857,0.1714,demand/capacity
2026-11,4.0,27200.0,58850.0,1.0,0.18,-0.0,361809.453043,False,-0.0,61.076465,False,420000,70,0.0648,0.0571,demand/capacity
2026-12,0.0,0.0,60150.0,0.9795999999999999,405.32,-0.0,420000.0,False,-0.0,70.0,False,420000,70,0.0,0.0,demand/capacity
