month,deploy_units,monthly_spend,unmet_demand,average_coverage,scenario
2026-01,63.77589999999999,420000.0,9610.6,0.32092,base
2026-02,67.1457,420000.0,3764.2300000000005,0.70546,base
2026-03,38.761300000000006,222755.53,0.0,1.0,base
2026-04,10.9328,61651.01,0.0,1.0,base
2026-05,14.2224,92445.77,0.0,1.0,base
2026-06,9.3015,57669.22,0.0,1.0,base
2026-07,10.7331,72985.36,0.0,1.0,base
2026-08,0.0,0.0,0.0,1.0,base
2026-09,0.0,0.0,0.0,1.0,base
2026-10,0.0,0.0,0.0,1.0,base
2026-11,0.0,0.0,0.0,1.0,base
2026-12,0.0,0.0,0.0,1.0,base
2026-01,62.9826,420000.0,12716.85,0.2549,shock_up_20
2026-02,65.7286,420000.0,7024.99,0.55454,shock_up_20
2026-03,70.0,407251.13,436.52,0.97058,shock_up_20
2026-04,18.0275,102036.63,0.0,1.0,shock_up_20
2026-05,17.0669,110935.07,0.0,1.0,shock_up_20
2026-06,11.1618,69203.07,0.0,1.0,shock_up_20
2026-07,12.8797,87581.95,0.0,1.0,shock_up_20
2026-08,0.0,0.0,0.0,1.0,shock_up_20
2026-09,0.0,0.0,0.0,1.0,shock_up_20
2026-10,0.0,0.0,0.0,1.0,shock_up_20
2026-11,0.0,0.0,0.0,1.0,shock_up_20
2026-12,0.0,0.0,0.0,1.0,shock_up_20
2026-01,64.2615,419999.99,6531.290000000001,0.41159999999999997,shock_down_20
2026-02,69.33840000000001,420000.0,450.78999999999996,0.9571,shock_down_20
2026-03,5.3467,31187.280000000002,0.0,1.0,shock_down_20
2026-04,8.7461,49320.05,0.0,1.0,shock_down_20
2026-05,10.3012,66957.58,0.0,1.0,shock_down_20
2026-06,6.6811,41422.95,0.0,1.0,shock_down_20
2026-07,7.2233,49118.1,0.0,1.0,shock_down_20
2026-08,0.0,0.0,0.0,1.0,shock_down_20
2026-09,0.0,0.0,0.0,1.0,shock_down_20
2026-10,0.0,0.0,0.0,1.0,shock_down_20
2026-11,0.0,0.0,0.0,1.0,shock_down_20
2026-12,0.0,0.0,0.0,1.0,shock_down_20
